,forecast,lower,upper
2026-06-30,370.60367,345.76578631804335,397.36065142675005
2026-07-01,369.2929,335.40771455857765,407.1897997788311
2026-07-02,366.37277,326.6440042252024,411.9424561659617
2026-07-03,362.59656,317.0095486750848,415.8756490530788
2026-07-06,358.3877,308.5690581621026,417.1609029773452
2026-07-07,353.99017,300.1957160980833,416.5790813663038
2026-07-08,349.54813,292.07466445376417,417.8432263035102
2026-07-09,345.14966,285.79620339800357,416.3859511022504
2026-07-10,340.8504,279.81750408594513,418.5489446124629
2026-07-13,336.68686,273.7026764789602,418.647276502575
2026-07-14,332.68347,266.89121868872644,418.3781359860756
2026-07-15,328.8564,260.5004593195303,417.9155934188731
2026-07-16,325.216,255.19543578082295,416.025608142447
2026-07-17,321.76794,249.3898598582269,417.47873343075173
2026-07-20,318.5147,244.70465353628032,415.46508823746575
2026-07-21,315.45566,239.84013592883224,415.4516481441611
2026-07-22,312.5882,235.43066410882665,415.88570181357517
2026-07-23,309.9076,232.52677755926723,417.60292105415374
2026-07-24,307.40805,230.7394647606055,417.70531257335756
2026-07-27,305.08258,226.06884901984063,417.8053373134716
2026-07-28,302.92337,223.39562805098765,417.3680369525494
2026-07-29,300.92227,220.457959931611,417.1743545356539
2026-07-30,299.07062,217.8809415074244,420.81788060240325
2026-07-31,297.3598,213.75212861517176,419.0632691362704
2026-08-03,295.78113,212.04532899467594,416.9344785897996
2026-08-04,294.32593,210.23211916806147,418.61239009179525
2026-08-05,292.98587,206.90458566338262,420.3101102610768
2026-08-06,291.75296,207.4056039154728,421.93268801254675
2026-08-07,290.61917,204.9710875618673,423.9873971164252
2026-08-10,289.57727,201.31171714277713,424.6625407267219
2026-08-11,288.62006,198.87328126412388,424.1107700735574
2026-08-12,287.74097,196.79445221140676,427.5802498353507
2026-08-13,286.93454,195.04462089739224,429.2966282186678
2026-08-14,286.20212,194.46138338757643,433.0295147415029
2026-08-17,285.53094,192.33181813511598,429.7785843616349
2026-08-18,284.91644,190.00965012872697,430.68787314836663
2026-08-19,284.3543,189.90447081538588,435.4298746679086
2026-08-20,283.84018,187.0083059088504,440.1658435064066
2026-08-21,283.3701,184.7086117202634,440.7291428028901
2026-08-24,282.94028,183.30801349632952,442.4990711181393
2026-08-25,282.54718,180.2909626421214,443.24292508582874
2026-08-26,282.18753,179.71906118336216,442.01599840475023
2026-08-27,281.8585,179.59513935855446,446.4088135514947
2026-08-28,281.55713,179.0398373886773,449.5263389966696
2026-08-31,281.28107,178.00350273444775,456.25776752178746
2026-09-01,281.02805,175.44318347502252,453.44303524435486
2026-09-02,280.79596,176.3862197151805,459.57407626558626
2026-09-03,280.58282,175.29784173609474,465.3927883140447
2026-09-04,280.38705,173.49469746851216,459.1626444634037
2026-09-07,280.20694,172.73062621301028,458.50041294652476
2026-09-08,280.0413,171.30235654147558,460.5316910825232
2026-09-09,279.88855,170.16159133218358,461.0031649376851
2026-09-10,279.74777,169.88402497516063,464.7788492868698
2026-09-11,279.6178,168.99433705014206,463.4106120278976
2026-09-14,279.4977,167.84016682470312,470.28784061685616
2026-09-15,279.38672,166.11857910322018,470.8096096613788
2026-09-16,279.2839,166.27199445839958,472.5277839804879
2026-09-17,279.1887,166.10362727843028,474.16717554948076
2026-09-18,279.10043,164.4642670125906,476.757653988322
2026-09-21,279.01855,164.37166036601388,477.7461824539271
2026-09-22,278.9425,162.99837384081508,478.39853832256046
2026-09-23,278.87183,163.72811887716543,480.6435391127505
2026-09-24,278.80612,162.38563071663046,479.7700113067075
2026-09-25,278.745,160.5489356350887,488.2145637031908
2026-09-28,278.68805,159.66481129304853,485.19455428678634
2026-09-29,278.63507,158.96497006702944,488.99849429143194
2026-09-30,278.5857,157.86249360411833,488.4273842636698
2026-10-01,278.53967,157.82102287183693,485.5927731092236
2026-10-02,278.49677,157.30407998497304,486.5266792901125
2026-10-05,278.45676,156.0106630113544,495.2052283005711
2026-10-06,278.4194,155.03085610538426,499.60289255346333
2026-10-07,278.3846,155.35545519745213,503.3138104833621
2026-10-08,278.35214,155.48002756143578,501.69700028320955
2026-10-09,278.32178,155.19634789806193,506.48434247838685
2026-10-12,278.29346,154.30076816147528,505.73330614623717
2026-10-13,278.26703,154.28653698934724,506.91229903312166
2026-10-14,278.24237,153.71712425063623,510.6986248855002
2026-10-15,278.2194,154.20479589832178,510.62926324723367
2026-10-16,278.19788,153.19984369790504,515.0812306828147
2026-10-19,278.1779,152.47635866354173,514.6364880076752
2026-10-20,278.15915,151.9674903707997,514.6807429349144
2026-10-21,278.14172,151.00645781766664,514.8192754845978
2026-10-22,278.12546,149.97081172016135,514.2268429632338
2026-10-23,278.11023,149.28040375356034,517.9943704047633
2026-10-26,278.0961,148.81488441465527,524.0613708725939
2026-10-27,278.0829,149.63545363044494,526.588487729744
2026-10-28,278.07053,149.0552854006599,527.0459973524237
2026-10-29,278.05908,148.42432206674414,533.6012523564438
2026-10-30,278.04837,148.088747232723,534.2576331892295
2026-11-02,278.03836,146.3533505774261,536.1454927273988
2026-11-03,278.02905,145.01594182781628,536.964253333911
2026-11-04,278.0204,144.19015871836933,540.1290575380398
2026-11-05,278.0123,143.63310869969575,544.4363539964422
2026-11-06,278.0048,143.11716653144487,545.5746700386524
2026-11-09,277.99774,142.01187277707027,548.9017055713659
2026-11-10,277.99124,141.68209663085602,550.7238934857879
2026-11-11,277.98514,141.9098887464249,555.2598423101774
2026-11-12,277.97943,141.3868675340985,557.9989974355308
2026-11-13,277.97418,141.0969124044552,561.4104100913265
2026-11-16,277.9693,140.42326724808794,562.8665752591469
2026-11-17,277.9647,139.65912404487355,561.5135455117908
2026-11-18,277.96042,139.58342547032703,565.6784389239183
2026-11-19,277.95642,139.08205133670592,565.2897715977494
2026-11-20,277.9528,139.85919453751433,571.5410113778988
2026-11-23,277.94934,138.8880898743593,573.1209205837807
2026-11-24,277.94614,139.21148839297177,576.1931286641152
2026-11-25,277.9431,138.09438846861258,577.2702846259074
2026-11-26,277.9404,136.95901692903908,577.27313290744
2026-11-27,277.9378,137.55514488966818,580.5354241843971
2026-11-30,277.93542,136.20615823686092,575.2431177642707
2026-12-01,277.9332,136.26160270034583,579.6937908648182
2026-12-02,277.93112,135.11654899273597,581.1041862766643
2026-12-03,277.92917,135.36538864867387,581.0117947407482
2026-12-04,277.9274,134.5745837832262,583.4355795634697
2026-12-07,277.92572,132.9249196938497,587.0668115362221
2026-12-08,277.9242,134.1551542803671,592.9583052719844
2026-12-09,277.9227,133.08872003578273,589.1522081389882
2026-12-10,277.9214,133.66805899140135,593.7067253280759
2026-12-11,277.9201,132.10985523761943,593.3696606017088
2026-12-14,277.91895,132.29268168911847,596.1550658199419
2026-12-15,277.91785,132.01198334728755,597.3497900275896
2026-12-16,277.91678,130.39631307897255,599.2879737935465
2026-12-17,277.91592,130.96377369006558,597.7462877844291
2026-12-18,277.915,131.3442584475972,602.880971410297
2026-12-21,277.91418,129.86976563556237,605.9056061999618
2026-12-22,277.91345,128.67441637413688,608.233679637374
2026-12-23,277.91272,128.0244051093997,610.9402102309017
2026-12-24,277.91208,127.00987972814566,610.1826350521122
2026-12-25,277.91144,126.1174417936147,613.4624692350313
2026-12-28,277.9109,127.53032174765936,617.8532782568496
2026-12-29,277.91037,126.96969538787208,613.1594464801012
2026-12-30,277.90985,125.29441872233284,618.5648571109049
2026-12-31,277.90945,125.11488837886884,622.8816082996382
2027-01-01,277.909,125.34290886589436,626.5460968742314
2027-01-04,277.90857,124.71022360653694,630.6649390420192
2027-01-05,277.9082,125.6825057969963,637.6231217429593
2027-01-06,277.90787,125.59641509160264,639.9218704771974
2027-01-07,277.90756,125.67627727321917,644.3158428041812
2027-01-08,277.90726,124.77404805792052,644.3425331320049
2027-01-11,277.90698,124.19268388173519,633.3241058182837
2027-01-12,277.9067,123.99917913911916,634.8243086860209
2027-01-13,277.90646,123.72799824852038,640.3543337648058
2027-01-14,277.90625,122.40083205598354,644.7935054397814
2027-01-15,277.90604,122.68899084439549,643.2721651033415
2027-01-18,277.90585,122.18275516127125,649.9684517149003
2027-01-19,277.9057,121.56250455403858,656.031216678951
2027-01-20,277.90552,121.89885003833606,651.9353946927517
2027-01-21,277.90533,121.83853817876391,660.9146965530066
2027-01-22,277.9052,120.63503966174841,660.9356668511224
2027-01-25,277.90506,120.26699512878945,664.2463755603037
2027-01-26,277.90494,119.59515926163064,667.187079513451
2027-01-27,277.90482,119.62873044767882,672.0448342989254
2027-01-28,277.9047,120.42298578869004,665.3060909608165
2027-01-29,277.90463,121.46004251234541,672.1445262816163
2027-02-01,277.9045,120.4979757940991,680.714199142818
2027-02-02,277.90445,119.93847749619162,677.2667027124523
2027-02-03,277.90436,118.78814290249704,683.9115539652738
2027-02-04,277.90427,119.09529161913298,680.7771414893493
2027-02-05,277.9042,119.37081890471559,683.1253162786248
2027-02-08,277.9041,118.17934096734662,681.1587536063782
2027-02-09,277.90405,117.90020979013339,688.5392865819585
2027-02-10,277.904,118.49267518463263,692.2620145883163
2027-02-11,277.904,117.37047861061889,693.1721050307613
2027-02-12,277.90393,117.30602062937353,694.4178312008592
2027-02-15,277.90384,118.11146676268338,692.8269699839868
2027-02-16,277.9038,117.18389088740548,694.858737198976
2027-02-17,277.90378,116.59924397907966,686.7728127051931
2027-02-18,277.90375,116.48104442409564,689.7756577499008
2027-02-19,277.90372,115.9184162687381,690.1738372950647
2027-02-22,277.9037,115.81753553587973,700.7995842374175
2027-02-23,277.90366,115.12816308944899,695.9020572267609
2027-02-24,277.90366,114.11468568891935,701.7536691481229
2027-02-25,277.90363,113.84300159253675,700.5432466793123
2027-02-26,277.9036,115.18038145921811,700.761253421635
2027-03-01,277.9036,114.27517598751362,701.9777440906729
2027-03-02,277.90356,114.70420140528142,698.9325997777056
2027-03-03,277.90353,113.84181593238944,701.9449693950066
2027-03-04,277.90353,114.09361756941612,708.6744147048324
2027-03-05,277.9035,113.49187807794986,710.2460251120684
2027-03-08,277.9035,114.84439642829852,712.7319375801559
2027-03-09,277.90347,114.04081541148835,715.265555742288
2027-03-10,277.90347,114.92800183448018,727.0361223755282
2027-03-11,277.90344,114.81314244334294,720.2915053979156
2027-03-12,277.9034,113.52728662132908,727.329582244465
2027-03-15,277.9034,114.37687141054832,722.3294764148305
2027-03-16,277.90338,113.8395990606171,732.3125973593543
2027-03-17,277.90338,113.09241365335438,736.319477343593
2027-03-18,277.90335,112.81449661289102,729.1678750000101
2027-03-19,277.90332,110.86409619262689,726.3686103401
2027-03-22,277.90332,109.16466789426472,725.1004216826007
2027-03-23,277.90332,107.9245924448422,734.5135653682846
2027-03-24,277.90332,107.57122761734132,731.304920754149
2027-03-25,277.90332,107.9532470104684,735.7848416248762
2027-03-26,277.90332,108.23312155906424,727.9394900351574
2027-03-29,277.90332,107.9633411880089,729.4904396825775
2027-03-30,277.90332,106.94034791718039,730.8469679142013
2027-03-31,277.90332,107.23819578698976,739.0922567569232
2027-04-01,277.90332,107.2354401981071,743.6827156058561
2027-04-02,277.90332,106.79661480432287,748.4298602542646
2027-04-05,277.90332,106.70141328401459,745.5275937844135
2027-04-06,277.9033,106.57656088375266,750.2468133042244
2027-04-07,277.9033,106.23208664465356,748.8823259156152
2027-04-08,277.9033,105.67970749400082,745.9279070424016
2027-04-09,277.9033,104.0746055205801,753.5930601453882
2027-04-12,277.9033,104.36994676511283,757.67318950853
2027-04-13,277.9033,105.49386201379495,759.0641891206304
2027-04-14,277.90326,104.31669221506695,766.2907613976031
2027-04-15,277.90326,103.86693253131203,770.745665024687
2027-04-16,277.9033,104.28704985296514,774.9620241540231
2027-04-19,277.90326,104.91733198923595,776.5796230459893
2027-04-20,277.9033,103.86578015803477,775.0441975858265
2027-04-21,277.90323,104.02873224337871,768.6977185999095
2027-04-22,277.90326,104.42103017495663,775.5305673532711
2027-04-23,277.90326,104.44378339462466,781.0938664992723
2027-04-26,277.90323,104.91598408208174,786.6632168680723
2027-04-27,277.90323,103.44686315501352,800.059723486487
2027-04-28,277.90326,104.02735278742317,791.086884858578
2027-04-29,277.90323,103.3072647468694,796.4693159187725
2027-04-30,277.90323,102.34909757345953,796.6246435211765
2027-05-03,277.90323,102.26775690649109,806.5880733299557
2027-05-04,277.90323,101.92194118069054,811.1505268620118
2027-05-05,277.90323,101.67956048254146,804.6228337348331
2027-05-06,277.9032,102.07055446329521,816.5113471584795
2027-05-07,277.9032,101.15868456441852,825.0326548578906
2027-05-10,277.9032,102.0247782700578,825.3137239518198
2027-05-11,277.9032,101.4762843257832,814.2356207366472
2027-05-12,277.9032,101.64660444470724,811.9211750875234
2027-05-13,277.9032,100.41818745864633,818.4356625287922
2027-05-14,277.9032,100.78611268877404,814.7492402752557
2027-05-17,277.90317,99.40364435954771,811.1739015367583
2027-05-18,277.9032,100.17786218470644,813.0374920316349
2027-05-19,277.90317,100.26046677359325,824.3481631445719
2027-05-20,277.90317,99.60654723104754,814.3050073783611
2027-05-21,277.9032,99.30958082799802,824.0770154082179
2027-05-24,277.9032,98.98016328579735,817.7482092326785
2027-05-25,277.90317,99.695685123351,822.8442254382187
2027-05-26,277.90317,99.6762800628159,833.3980052775132
2027-05-27,277.9032,98.76362432982128,838.3467905193551
2027-05-28,277.90317,98.02909984561933,831.1178883359702
2027-05-31,277.90317,97.929235651725,831.1878175813274
2027-06-01,277.90317,98.28831555950472,832.1602047560649
2027-06-02,277.90317,98.05335698881755,833.5178499125356
2027-06-03,277.90317,97.03025346451362,827.0497421124915
2027-06-04,277.90317,98.11355238536756,834.0402292712464
2027-06-07,277.90317,98.44574872325073,844.4541268807478
2027-06-08,277.90317,97.69220838343925,842.1773020210393
2027-06-09,277.90317,97.77083816098273,849.9522145178469
2027-06-10,277.90317,98.18629368476867,838.3001214711638
2027-06-11,277.9032,98.09629329876223,833.9139374525432
2027-06-14,277.90317,97.16802990449004,839.1092451598334
2027-06-15,277.9032,98.14407042890899,843.8176677635987
2027-06-16,277.90323,97.57345986452006,846.6273278812946
